id;salesforce_uid;affiliate_name;currency;street_address;city;county;postcode;country;email;phone_number;location_coordinate_x;location_coordinate_y;default_language;card_payment;single_card_payment;recurring_card_payment;direct_debit;gift_aid;general_fundraising;school_fundraising;created_by_user_id;created_date
1;Wells;partnerships Terrace Hat;EURO;Kroon deposit systemic;Windlerland;mindshare;District THX Coordinator;Saint Martin;"WE@I6.C]l+";International;22995;74583;red;true;true;true;false;true;true;false;47320;2019-10-30T05:31:14
2;Mouse fuchsia Licensed;connect;USD;Automotive;Wisokystad;online;Music Savings Account;Myanmar;"Shq{T@%HpWz.oe";Avon;6420;65151;data-warehouse South Carolina;false;false;true;false;false;false;false;7244;2019-10-30T02:13:38
3;grow Orchestrator;multi-state El Salvador Colon US Dollar XSS;GBP;Configurable;Marksland;Berkshire;magenta efficient;San Marino;"ynR@""lyKw.L[/";Unbranded revolutionary;3320;82451;24/365;false;false;true;true;false;true;true;80058;2019-10-29T22:50:37
4;Rustic Metal Computer;deposit circuit Kids;EURO;XSS alarm neural;New Rasheed;Handcrafted Customer;Auto Loan Account online;Lao People's Democratic Republic;"""@,C^\k.HXA=";Handmade Generic Concrete Tuna;15954;47927;Savings Account utilisation Hill;true;false;true;true;false;true;false;49819;2019-10-30T14:40:40
5;Clothing deposit;Designer;USD;Practical Steel Mouse;Lake Jaleel;XSS;mindshare navigating Money Market Account;Russian Federation;"3]L8%!@ln.!";XML New Jersey;43861;2939;target Auto Loan Account Personal Loan Account;true;false;true;false;true;true;false;91236;2019-10-30T09:56:18
6;benchmark;invoice program;USD;Investor Tuna;West Walterport;applications;Berkshire;Ecuador;")iKN8i@_{.S";Louisiana payment;9526;16352;envisioneer Coordinator;false;true;true;false;false;true;true;59871;2019-10-30T15:25:01
7;Manager Ford;SDD;EURO;Uganda Shilling Cotton;East Lacey;Assurance De-engineered;Shirt Kids;Russian Federation;"I%@1gdTd.7)";transmitter Passage SCSI;55814;20584;Steel zero defect;false;false;true;false;true;false;false;64000;2019-10-30T15:37:38
8;Estate;Incredible Sleek Arizona;GBP;Automotive;New Wava;Minnesota Open-architected Lebanon;Tugrik Wooden;Antarctica (the territory South of 60 deg S);"Dl_@4FU.tG";Chilean Peso Unidades de fomento Officer Handmade;67260;15616;Synergistic Officer;false;true;true;true;true;true;false;68324;2019-10-30T18:08:15
9;Polarised transmitting;Rhode Island Music Data;GBP;whiteboard payment Incredible;Carmenshire;Incredible Frozen Pizza recontextualize;transmit Awesome optimal;Bosnia and Herzegovina;"Xn@xB,_U.&wq2&F";schemas Legacy SAS;31719;43558;navigating Plastic Nigeria;false;false;false;true;false;true;false;56343;2019-10-30T01:52:01
10;deliver Pine;Haiti;GBP;payment connect Berkshire;Salmashire;indexing Lead;leading-edge enable synthesize;Moldova;".k5@6w*=H.eym&";Slovenia synthesize capacitor;52123;1823;violet Outdoors deposit;true;true;false;true;true;false;false;19715;2019-10-29T20:07:54
